FLIR_04598.png,7.5,52.83,12.3,2.06,1.94,0.49,0.45,1.01
FLIR_00306.png,7.32,45.31,13.95,1.86,1.86,0.6,0.45,0.97
FLIR_04593.png,6.88,32.7,14.35,1.73,1.89,0.44,0.4,0.82
FLIR_04215.png,6.88,34.78,12.76,2.3,1.82,0.57,0.42,1.02
FLIR_04514.png,6.99,32.9,13.39,1.75,1.9,0.49,0.41,0.93
FLIR_04285.png,7.35,43.96,15.06,2.13,1.71,0.55,0.45,1.1
FLIR_05201.png,7.62,52.48,19.04,2.32,1.53,0.57,0.5,1.22
FLIR_04269.png,6.86,34.11,12.65,1.76,1.74,0.53,0.41,1.01
FLIR_01274.png,6.92,40.82,12.32,2.2,1.82,0.53,0.44,0.85
FLIR_00452.png,7.44,46.51,16.4,2.61,1.83,0.61,0.49,1.03
FLIR_01130.png,6.44,21.4,9.39,1.11,1.9,0.39,0.35,0.98
FLIR_04229.png,6.88,35.67,15.85,2.07,1.82,0.51,0.42,0.92
FLIR_01932.png,7.67,55.71,11.13,3.95,1.84,1.0,0.67,1.04
FLIR_00594.png,7.23,46.65,12.62,3.07,1.51,0.78,0.57,1.13
FLIR_04726.png,6.86,30.13,15.26,2.13,1.91,0.49,0.44,0.89
FLIR_04688.png,7.02,35.02,15.1,1.71,1.95,0.5,0.48,0.85
FLIR_00977.png,6.65,30.45,9.02,2.12,1.95,0.48,0.37,0.86
FLIR_05108.png,7.33,42.18,15.48,1.68,1.78,0.51,0.44,1.12
FLIR_00455.png,7.15,42.75,11.94,2.96,1.6,0.6,0.44,1.0
FLIR_04319.png,6.78,29.42,9.05,2.38,1.87,0.61,0.44,0.82
