FLIR_00311.png,6.73,25.88,11.81,1.76,1.94,0.52,0.44,0.72
FLIR_05201.png,7.7,56.51,18.93,2.2,1.5,0.5,0.44,1.21
FLIR_07060.png,7.52,48.62,12.31,1.95,1.3,0.6,0.4,0.98
FLIR_01130.png,6.44,21.5,9.1,1.03,1.9,0.38,0.33,0.93
FLIR_00122.png,6.84,32.49,8.82,2.01,1.84,0.49,0.35,0.73
FLIR_03909.png,7.43,48.8,8.95,1.86,1.51,0.54,0.37,0.96
FLIR_06876.png,7.04,33.26,9.98,2.1,1.88,0.55,0.44,0.86
FLIR_05767.png,7.46,49.72,8.4,2.17,1.16,0.55,0.38,0.99
FLIR_06621.png,7.14,42.04,12.38,1.8,1.84,0.46,0.4,0.93
FLIR_05252.png,7.49,53.01,13.46,2.59,1.62,0.54,0.43,1.05
FLIR_05064.png,7.1,34.72,14.63,1.7,1.86,0.44,0.42,0.86
FLIR_06219.png,7.09,38.79,8.15,2.08,1.1,0.67,0.43,1.1
FLIR_07202.png,7.09,34.44,10.92,1.39,1.6,0.58,0.4,1.04
FLIR_04943.png,6.98,31.66,12.15,1.71,1.84,0.44,0.37,0.82
FLIR_08954.png,7.58,51.95,12.15,2.35,1.15,0.62,0.47,1.08
FLIR_06962.png,6.83,31.48,10.48,1.65,1.89,0.45,0.38,0.81
FLIR_05164.png,7.42,44.71,19.4,1.8,1.72,0.46,0.43,1.02
FLIR_04512.png,6.91,33.15,12.31,1.55,1.87,0.4,0.38,0.85
FLIR_07190.png,7.02,41.42,9.28,2.3,1.28,0.67,0.45,0.81
FLIR_05697.png,7.17,36.89,7.0,1.79,1.19,0.66,0.42,1.12
